strain_id,plasmidsaurus_id,pos_cntrl_genome,pos_cntrl_genome_path,neg_cntrl_genome,neg_cntrl_genome_path,Notes
aalgi,TKDHS4_24_S56,,,,,
abie,TKDHS4_21_S53,,,,,
atcc25922,,,,,,
atcc26499,TKDHS4_22_S54,,,,,
atcc27126,B9NRXP_2_S106,,,,,
atlcs,B9NRXP_1_S105,,,,,
azure,TKDHS4_32_S63,,,,,
b2china,TKDHS4_31_S62,,,,,
bdim,B9NRXP_10_S114,,,,,
bermu,TKDHS4_4_S36,,,,,
bork,,,,,,
brown-dss3,TKDHS4_10_S42,,,,,Same as DSS3?
bs11,TKDHS4_5_S37,,,,,
cip,,,,,,
citrea,TKDHS4_9_S41,,,TKDHS4_9_polished.fasta,/projectnb/hfsp/Plasmidsaurus25/archive/TKDHS4_polished_results/TKDHS4_9_polish,
crono,B9NRXP_4_S108,,,,,
cstat,TKDHS4_17_S49,,,,,
de1,B9NRXP_8_S112,,,,,
dfl-12,B9NRXP_5_S109,,,,,
dies,,,,,,
dss-3,TKDHS4_13_S45,,,TKDHS4_13_polished.fasta,/projectnb/hfsp/Plasmidsaurus25/archive/TKDHS4_polished_results/TKDHS4_13_polish,
eryth,TKDHS4_23_S55,,,,,
exig,B9NRXP_6_S110,,,,,
fagar,TKDHS4_28_S59,,,,,
fang,B9NRXP_11_S115,,,,,
fors,TKDHS4_19_S51,,,,,
hot1a3,TKDHS4_7_S39,GCA_000172635.gbk,/projectnb/hfsp/IAMM_reference_files/gbk,TKDHS4_7_polished.fasta,/projectnb/hfsp/Plasmidsaurus25/archive/TKDHS4_polished_results/TKDHS4_7_polish,
hot5_b10,B9NRXP_3_S107,,,,,
hot5_b8,B9NRXP_20_S124,,,,,
hot5_c3,TKDHS4_20_S52,,,,,
hot5_e6,TKDHS4_25_S57,,,,,
hot5_f3,NDPXLJ_6,,,,,
hp15,B9NRXP_7_S111,,,,,
kordia,TKDHS4_6_S38,,,,,
koree,TKDHS4_12_S44,,,,,
ksed,TKDHS4_27,,,,,
kuro,B9NRXP_12_S116,,,,,
luca8,TKDHS4_26_S58,,,,,
mre600,,,,,,
nitzsch,B9NRXP_13_S117,,,,,
owen,B9NRXP_16_S120,,,,,
parctic,PNBC3Y_2,,,,,
pgall,TKDHS4_8_S40,,,,,
phalo,TKDHS4_16_S48,,,,,
pinhib,TKDHS4_15_S47,,,,,
plank,,,,,,
pr1red,B9NRXP_9_S113,,,,,
pr1white,B9NRXP_15_S119,,,,,
rbalt,,,,,,
relong,B9NRXP_17_S121,,,,,
roseo,NDPXLJ_7,,,,,
rsphaer,B9NRXP_18_S122,,,,,
salex,B9NRXP_14_S118,,,,,
salin,,,,,,
sedthio,6LTRG8_2,,,,,
serr,TKDHS4_18_S50,,,,,
sflavi,TKDHS4_1_S33,,,,,
sflavi-2,,,,,,
shewden,TKDHS4_11,,,,,Same as sflavi?
t2,B9NRXP_19,,,,,
t6c,TKDHS4_14,,,,,
vcamp,TKDHS4_2,,,,,
vnat,TKDHS4_3,,,TKDHS4_3_polished.fasta,/projectnb/hfsp/Plasmidsaurus25/archive/TKDHS4_polished_results/TKDHS4_3_polish,
woodyi,,,,,,
